        Measured Period [us]    Set Period [us]    Error [%]
 639                     397                 25        -1488
 640                     397                 25        -1488
 641                     397                 25        -1488
 642                     396                 25        -1484
 643                     397                 25        -1488
 644                     397                 25        -1488
 645                     397                 25        -1488
 646                     397                 25        -1488
 647                     397                 25        -1488
 648                     396                 25        -1484
 649                     397                 25        -1488
 650                     397                 25        -1488
 651                     397                 25        -1488
 652                     397                 25        -1488
 653                     397                 25        -1488
 654                     396                 25        -1484
 655                     397                 25        -1488
 656                     397                 25        -1488
 657                     397                 25        -1488
 658                     397                 25        -1488
 659                     396                 25        -1484
 660                     397                 25        -1488
 661                     397                 25        -1488
 662                     397                 25        -1488
 663                     397                 25        -1488
 664                     397                 25        -1488
 665                     396                 25        -1484
 666                     397                 25        -1488
 667                     397                 25        -1488
 668                     397                 25        -1488
 669                     397                 25        -1488
 670                     396                 25        -1484
 671                     397                 25        -1488
 672                     397                 25        -1488
 673                     397                 25        -1488
 674                     397                 25        -1488
 675                     397                 25        -1488
 676                     396                 25        -1484
 677                     397                 25        -1488
 678                     397                 25        -1488
 679                     397                 25        -1488
 680                     397                 25        -1488
 681                     397                 25        -1488
 682                     396                 25        -1484
 683                     397                 25        -1488
 684                     397                 25        -1488
 685                     397                 25        -1488
 686                     397                 25        -1488
 687                     396                 25        -1484
 688                     397                 25        -1488
 689                     397                 25        -1488
 690                     397                 25        -1488
 691                     397                 25        -1488
 692                     397                 25        -1488
 693                     396                 25        -1484
 694                     397                 25        -1488
 695                     397                 25        -1488
 696                     397                 25        -1488
 697                     397                 25        -1488
 698                     396                 25        -1484
 699                     397                 25        -1488
 700                     397                 25        -1488
 701                     397                 25        -1488
 702                     397                 25        -1488
 703                     397                 25        -1488
 704                     396                 25        -1484
 705                     397                 25        -1488
 706                     397                 25        -1488
 707                     397                 25        -1488
 708                     397                 25        -1488
 709                     397                 25        -1488
 710                     396                 25        -1484
 711                     397                 25        -1488
 712                     397                 25        -1488
 713                     397                 25        -1488
 714                     397                 25        -1488
 715                     396                 25        -1484
 716                     397                 25        -1488
