        Measured Period [us]    Set Period [us]    Error [%]
 406                994.938                1000      0.50625
 407                995                    1000      0.5
 408                994.938                1000      0.50625
 409                994.938                1000      0.50625
 410                993                    1000      0.7
 411                992.938                1000      0.70625
 412                995                    1000      0.5
 413                994.938                1000      0.50625
 414                995                    1000      0.5
 415                994.938                1000      0.50625
 416                993                    1000      0.7
 417                992.938                1000      0.70625
 418                994.938                1000      0.50625
 419                995                    1000      0.5
 420                994.938                1000      0.50625
 421                995                    1000      0.5
 422                992.938                1000      0.70625
 423                993                    1000      0.7
 424                994.938                1000      0.50625
 425                994.938                1000      0.50625
 426                995                    1000      0.5
 427                994.938                1000      0.50625
 428                995                    1000      0.5
 429                994.938                1000      0.50625
 430                992.938                1000      0.70625
 431                993                    1000      0.7
 432                994.938                1000      0.50625
 433                995                    1000      0.5
 434                994.938                1000      0.50625
 435                995                    1000      0.5
 436                992.938                1000      0.70625
 437                993                    1000      0.7
 438                994.938                1000      0.50625
 439                994.938                1000      0.50625
 440                995                    1000      0.5
 441                994.938                1000      0.50625
 442                993                    1000      0.7
 443                992.938                1000      0.70625
 444                995                    1000      0.5
 445                994.938                1000      0.50625
 446                994.938                1000      0.50625
 447                995                    1000      0.5
 448                992.938                1000      0.70625
 449                993                    1000      0.7
 450                994.938                1000      0.50625
 451                995                    1000      0.5
 452                994.938                1000      0.50625
 453                994.938                1000      0.50625
 454                993                    1000      0.7
 455                993                    1000      0.7
 456                994.938                1000      0.50625
 457                994.938                1000      0.50625
 458                995                    1000      0.5
 459                994.938                1000      0.50625
 460                993                    1000      0.7
 461                992.938                1000      0.70625
 462                995                    1000      0.5
 463                994.938                1000      0.50625
 464                994.938                1000      0.50625
 465                995                    1000      0.5
 466                992.938                1000      0.70625
 467                993                    1000      0.7
 468                994.938                1000      0.50625
 469                995                    1000      0.5
 470                994.938                1000      0.50625
 471                994.938                1000      0.50625
 472                993                    1000      0.7
 473                992.938                1000      0.70625
 474                995                    1000      0.5
 475                994.938                1000      0.50625
 476                994.938                1000      0.50625
 477                995                    1000      0.5
 478                994.938                1000      0.50625
 479                995                    1000      0.5
 480                992.938                1000      0.70625
 481                993                    1000      0.7
 482                994.938                1000      0.50625
 483                994.938                1000      0.50625
 484                995                    1000      0.5
 485                994.938                1000      0.50625
 486                993                    1000      0.7
 487                992.938                1000      0.70625
 488                995                    1000      0.5
 489                994.938                1000      0.50625
 490                994.938                1000      0.50625
 491                995                    1000      0.5
 492                992.938                1000      0.70625
 493                993                    1000      0.7
 494                994.938                1000      0.50625
 495                995                    1000      0.5
 496                994.938                1000      0.50625
 497                994.938                1000      0.50625
 498                993                    1000      0.7
 499                993                    1000      0.7
 500                994.938                1000      0.50625
 501                994.938                1000      0.50625
 502                995                    1000      0.5
 503                994.938                1000      0.50625
 504                993                    1000      0.7
 505                992.938                1000      0.70625
 506                994.938                1000      0.50625
 507                995                    1000      0.5
 508                994.938                1000      0.50625
 509                995                    1000      0.5
 510                992.938                1000      0.70625
 511                993                    1000      0.7
 512                994.938                1000      0.50625
 513                994.938                1000      0.50625
 514                995                    1000      0.5
 515                994.938                1000      0.50625
 516                993                    1000      0.7
 517                992.938                1000      0.70625
 518                995                    1000      0.5
 519                994.938                1000      0.50625
