        Measured Period [us]    Set Period [us]    Error [%]
 699                     397                 25        -1488
 700                     397                 25        -1488
 701                     396                 25        -1484
 702                     397                 25        -1488
 703                     397                 25        -1488
 704                     397                 25        -1488
 705                     397                 25        -1488
 706                     397                 25        -1488
 707                     396                 25        -1484
 708                     397                 25        -1488
 709                     397                 25        -1488
 710                     397                 25        -1488
 711                     397                 25        -1488
 712                     397                 25        -1488
 713                     396                 25        -1484
 714                     397                 25        -1488
 715                     397                 25        -1488
 716                     397                 25        -1488
 717                     397                 25        -1488
 718                     397                 25        -1488
 719                     396                 25        -1484
 720                     397                 25        -1488
 721                     397                 25        -1488
 722                     397                 25        -1488
 723                     397                 25        -1488
 724                     396                 25        -1484
 725                     397                 25        -1488
 726                     397                 25        -1488
 727                     397                 25        -1488
 728                     397                 25        -1488
 729                     397                 25        -1488
 730                     396                 25        -1484
 731                     397                 25        -1488
 732                     397                 25        -1488
 733                     397                 25        -1488
 734                     397                 25        -1488
 735                     397                 25        -1488
 736                     396                 25        -1484
 737                     397                 25        -1488
 738                     397                 25        -1488
 739                     397                 25        -1488
 740                     397                 25        -1488
 741                     397                 25        -1488
 742                     396                 25        -1484
 743                     397                 25        -1488
 744                     397                 25        -1488
 745                     397                 25        -1488
 746                     397                 25        -1488
 747                     397                 25        -1488
 748                     396                 25        -1484
 749                     397                 25        -1488
 750                     397                 25        -1488
 751                     397                 25        -1488
 752                     397                 25        -1488
 753                     397                 25        -1488
 754                     396                 25        -1484
 755                     397                 25        -1488
 756                     397                 25        -1488
 757                     397                 25        -1488
 758                     397                 25        -1488
 759                     397                 25        -1488
 760                     396                 25        -1484
 761                     397                 25        -1488
 762                     397                 25        -1488
 763                     397                 25        -1488
 764                     397                 25        -1488
 765                     397                 25        -1488
 766                     396                 25        -1484
 767                     397                 25        -1488
 768                     397                 25        -1488
 769                     397                 25        -1488
 770                     397                 25        -1488
 771                     396                 25        -1484
 772                     397                 25        -1488
 773                     397                 25        -1488
 774                     397                 25        -1488
 775                     397                 25        -1488
 776                     397                 25        -1488
 777                     396                 25        -1484
 778                     397                 25        -1488
 779                     397                 25        -1488
 780                     397                 25        -1488
 781                     397                 25        -1488
 782                     397                 25        -1488
 783                     396                 25        -1484
 784                     397                 25        -1488
 785                     397                 25        -1488
 786                     397                 25        -1488
 787                     397                 25        -1488
 788                     397                 25        -1488
 789                     396                 25        -1484
 790                     397                 25        -1488
 791                     397                 25        -1488
 792                     397                 25        -1488
 793                     397                 25        -1488
 794                     397                 25        -1488
 795                     396                 25        -1484
 796                     397                 25        -1488
 797                     397                 25        -1488
 798                     397                 25        -1488
 799                     397                 25        -1488
 800                     397                 25        -1488
 801                     396                 25        -1484
 802                     397                 25        -1488
 803                     397                 25        -1488
 804                     397                 25        -1488
 805                     397                 25        -1488
 806                     397                 25        -1488
 807                     396                 25        -1484
 808                     397                 25        -1488
 809                     397                 25        -1488
 810                     397                 25        -1488
 811                     397                 25        -1488
 812                     396                 25        -1484
 813                     397                 25        -1488
 814                     397                 25        -1488
 815                     397                 25        -1488
 816                     397                 25        -1488
 817                     397                 25        -1488
 818                     396                 25        -1484
 819                     397                 25        -1488
 820                     397                 25        -1488
 821                     397                 25        -1488
 822                     397                 25        -1488
 823                     397                 25        -1488
 824                     396                 25        -1484
 825                     397                 25        -1488
 826                     397                 25        -1488
 827                     397                 25        -1488
 828                     397                 25        -1488
 829                     397                 25        -1488
 830                     396                 25        -1484
 831                     397                 25        -1488
 832                     397                 25        -1488
 833                     397                 25        -1488
 834                     397                 25        -1488
 835                     397                 25        -1488
 836                     396                 25        -1484
 837                     397                 25        -1488
 838                     397                 25        -1488
 839                     397                 25        -1488
 840                     397                 25        -1488
 841                     397                 25        -1488
 842                     396                 25        -1484
 843                     397                 25        -1488
 844                     397                 25        -1488
 845                     397                 25        -1488
 846                     397                 25        -1488
 847                     397                 25        -1488
 848                     396                 25        -1484
 849                     397                 25        -1488
 850                     397                 25        -1488
 851                     397                 25        -1488
 852                     397                 25        -1488
 853                     397                 25        -1488
 854                     396                 25        -1484
 855                     397                 25        -1488
 856                     397                 25        -1488
 857                     397                 25        -1488
 858                     397                 25        -1488
 859                     396                 25        -1484
 860                     397                 25        -1488
 861                     397                 25        -1488
 862                     397                 25        -1488
 863                     397                 25        -1488
 864                     397                 25        -1488
 865                     396                 25        -1484
 866                     397                 25        -1488
 867                     397                 25        -1488
 868                     397                 25        -1488
 869                     397                 25        -1488
 870                     397                 25        -1488
 871                     396                 25        -1484
 872                     397                 25        -1488
 873                     397                 25        -1488
 874                     397                 25        -1488
 875                     397                 25        -1488
 876                     397                 25        -1488
 877                     396                 25        -1484
 878                     397                 25        -1488
 879                     397                 25        -1488
 880                     397                 25        -1488
 881                     397                 25        -1488
 882                     397                 25        -1488
 883                     396                 25        -1484
 884                     397                 25        -1488
 885                     397                 25        -1488
 886                     397                 25        -1488
 887                     397                 25        -1488
 888                     397                 25        -1488
 889                     396                 25        -1484
 890                     397                 25        -1488
 891                     397                 25        -1488
 892                     397                 25        -1488
 893                     397                 25        -1488
 894                     397                 25        -1488
 895                     396                 25        -1484
 896                     397                 25        -1488
 897                     397                 25        -1488
 898                     397                 25        -1488
 899                     397                 25        -1488
 900                     396                 25        -1484
 901                     397                 25        -1488
 902                     397                 25        -1488
 903                     397                 25        -1488
 904                     397                 25        -1488
 905                     397                 25        -1488
 906                     396                 25        -1484
 907                     397                 25        -1488
 908                     397                 25        -1488
 909                     397                 25        -1488
 910                     397                 25        -1488
 911                     397                 25        -1488
 912                     396                 25        -1484
 913                     397                 25        -1488
 914                     397                 25        -1488
 915                     397                 25        -1488
 916                     397                 25        -1488
 917                     397                 25        -1488
 918                     396                 25        -1484
 919                     397                 25        -1488
 920                     397                 25        -1488
 921                     397                 25        -1488
 922                     397                 25        -1488
 923                     397                 25        -1488
 924                     396                 25        -1484
 925                     397                 25        -1488
 926                     397                 25        -1488
 927                     397                 25        -1488
 928                     397                 25        -1488
 929                     397                 25        -1488
 930                     396                 25        -1484
 931                     397                 25        -1488
 932                     397                 25        -1488
 933                     397                 25        -1488
 934                     397                 25        -1488
 935                     397                 25        -1488
 936                     396                 25        -1484
 937                     397                 25        -1488
 938                     397                 25        -1488
 939                     397                 25        -1488
 940                     397                 25        -1488
 941                     397                 25        -1488
 942                     396                 25        -1484
 943                     397                 25        -1488
 944                     397                 25        -1488
 945                     397                 25        -1488
 946                     397                 25        -1488
 947                     396                 25        -1484
 948                     397                 25        -1488
 949                     397                 25        -1488
 950                     397                 25        -1488
 951                     397                 25        -1488
 952                     397                 25        -1488
 953                     396                 25        -1484
 954                     397                 25        -1488
 955                     397                 25        -1488
 956                     397                 25        -1488
 957                     397                 25        -1488
 958                     397                 25        -1488
 959                     396                 25        -1484
 960                     397                 25        -1488
 961                     397                 25        -1488
 962                     397                 25        -1488
 963                     397                 25        -1488
 964                     397                 25        -1488
 965                     396                 25        -1484
 966                     397                 25        -1488
 967                     397                 25        -1488
 968                     397                 25        -1488
 969                     397                 25        -1488
 970                     397                 25        -1488
 971                     396                 25        -1484
 972                     397                 25        -1488
 973                     397                 25        -1488
 974                     397                 25        -1488
 975                     397                 25        -1488
 976                     397                 25        -1488
 977                     396                 25        -1484
 978                     397                 25        -1488
 979                     397                 25        -1488
 980                     397                 25        -1488
 981                     397                 25        -1488
 982                     397                 25        -1488
 983                     396                 25        -1484
 984                     397                 25        -1488
 985                     397                 25        -1488
 986                     397                 25        -1488
 987                     397                 25        -1488
 988                     396                 25        -1484
 989                     397                 25        -1488
 990                     397                 25        -1488
 991                     397                 25        -1488
 992                     397                 25        -1488
 993                     397                 25        -1488
 994                     396                 25        -1484
 995                     397                 25        -1488
 996                     397                 25        -1488
 997                     397                 25        -1488
 998                     397                 25        -1488
 999                     397                 25        -1488
1000                     396                 25        -1484
1001                     397                 25        -1488
1002                     397                 25        -1488
1003                     397                 25        -1488
1004                     397                 25        -1488
1005                     397                 25        -1488
